OutputID	OutputName	OutputType	OutputTier	BuildingResourceTier	ConstructionTime	PlanetTypes	Factions	ResourceType	ProductionSteps	Ingredient1	Quantity1	Ingredient2	Quantity2	Ingredient3	Quantity3	Ingredient4	Quantity4	Ingredient5	Quantity5	Ingredient6	Quantity6	Ingredient7	Quantity7	Ingredient8	Quantity8
oceanic-extraction-hub-t1	Extraction Hub	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Chromite Ore	25	Biomass	20	Carbon	15										
oceanic-extraction-hub-t2	Extraction Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	24	Boron Composite	21	Climate Controller	18	Cobalt	15								
oceanic-extraction-hub-t3	Extraction Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	29	Boron Composite	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-extraction-hub-t4	Extraction Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	35	Boron Composite	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-extraction-hub-t5	Extraction Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	42	Boron Composite	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-storage-hub-t1	Storage Hub	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Chromite Ore	25	Biomass	20	Carbon	15										
oceanic-storage-hub-t2	Storage Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	24	Boron Composite	21	Climate Controller	18	Cobalt	15								
oceanic-storage-hub-t3	Storage Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	29	Boron Composite	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-storage-hub-t4	Storage Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	35	Boron Composite	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-storage-hub-t5	Storage Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	42	Boron Composite	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-farm-hub-t1	Farm Hub	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Chromite Ore	25	Biomass	20	Carbon	15										
oceanic-farm-hub-t2	Farm Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	24	Boron Composite	21	Climate Controller	18	Cobalt	15								
oceanic-farm-hub-t3	Farm Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	29	Boron Composite	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-farm-hub-t4	Farm Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	35	Boron Composite	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-farm-hub-t5	Farm Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	42	Boron Composite	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-power-plant-t1	Power Plant	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Chromite Ore	25	Biomass	20	Carbon	15										
oceanic-power-plant-t2	Power Plant	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	24	Boron Composite	21	Climate Controller	18	Cobalt	15								
oceanic-power-plant-t3	Power Plant	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	29	Boron Composite	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-power-plant-t4	Power Plant	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	35	Boron Composite	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-power-plant-t5	Power Plant	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	42	Boron Composite	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-crew-quarters-t1	Crew Quarters	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Chromite Ore	25	Biomass	20	Carbon	15										
oceanic-crew-quarters-t2	Crew Quarters	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	24	Boron Composite	21	Climate Controller	18	Cobalt	15								
oceanic-crew-quarters-t3	Crew Quarters	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	29	Boron Composite	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-crew-quarters-t4	Crew Quarters	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	35	Boron Composite	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-crew-quarters-t5	Crew Quarters	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	42	Boron Composite	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-cobalt-processor-t1	Cobalt Processor	BUILDING	1	2	60	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Chromite Ore	25	Biomass	20	Carbon	15										
oceanic-cobalt-processor-t2	Cobalt Processor	BUILDING	2	2	45	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Chromite	30	Biomass	24	Carbon	18	Barrier Material	21								
oceanic-cobalt-processor-t3	Cobalt Processor	BUILDING	3	2	30	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Chromite	36	Biomass	29	Carbon	22	Barrier Material	26	Boron Composite	21						
oceanic-cobalt-processor-t4	Cobalt Processor	BUILDING	4	2	25	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Chromite	44	Biomass	35	Carbon	27	Barrier Material	32	Boron Composite	26	Aerogel	21				
oceanic-cobalt-processor-t5	Cobalt Processor	BUILDING	5	2	20	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Chromite	53	Biomass	42	Carbon	33	Barrier Material	39	Boron Composite	32	Aerogel	26	Climate Controller	25		
oceanic-manganese-processor-t1	Manganese Processor	BUILDING	1	2	60	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Chromite Ore	25	Biomass	20	Carbon	15										
oceanic-manganese-processor-t2	Manganese Processor	BUILDING	2	2	45	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Chromite	30	Biomass	24	Carbon	18	Barrier Material	21								
oceanic-manganese-processor-t3	Manganese Processor	BUILDING	3	2	30	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Chromite	36	Biomass	29	Carbon	22	Barrier Material	26	Boron Composite	21						
oceanic-manganese-processor-t4	Manganese Processor	BUILDING	4	2	25	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Chromite	44	Biomass	35	Carbon	27	Barrier Material	32	Boron Composite	26	Aerogel	21				
oceanic-manganese-processor-t5	Manganese Processor	BUILDING	5	2	20	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Chromite	53	Biomass	42	Carbon	33	Barrier Material	39	Boron Composite	32	Aerogel	26	Climate Controller	25		
oceanic-biomass-extractor-t1	Biomass Extractor	BUILDING	1	1	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	25	Copper	22	Copper Wire	19										
oceanic-biomass-extractor-t2	Biomass Extractor	BUILDING	2	1	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	30	Copper	27	Copper Wire	23	Chromite	21								
oceanic-biomass-extractor-t3	Biomass Extractor	BUILDING	3	1	60	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	36	Copper	33	Copper Wire	28	Chromite	26	Control Circuit	23						
oceanic-biomass-extractor-t4	Biomass Extractor	BUILDING	4	1	50	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	44	Copper	40	Copper Wire	34	Chromite	32	Control Circuit	28	Aerogel	21				
oceanic-biomass-extractor-t5	Biomass Extractor	BUILDING	5	1	40	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	53	Copper	48	Copper Wire	41	Chromite	39	Control Circuit	34	Aerogel	26	Boron Composite	25		
oceanic-hydrogen-extractor-t1	Hydrogen Extractor	BUILDING	1	1	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	25	Copper	22	Copper Wire	19										
oceanic-hydrogen-extractor-t2	Hydrogen Extractor	BUILDING	2	1	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	30	Copper	27	Copper Wire	23	Chromite	21								
oceanic-hydrogen-extractor-t3	Hydrogen Extractor	BUILDING	3	1	60	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	36	Copper	33	Copper Wire	28	Chromite	26	Control Circuit	23						
oceanic-hydrogen-extractor-t4	Hydrogen Extractor	BUILDING	4	1	50	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	44	Copper	40	Copper Wire	34	Chromite	32	Control Circuit	28	Aerogel	21				
oceanic-hydrogen-extractor-t5	Hydrogen Extractor	BUILDING	5	1	40	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	53	Copper	48	Copper Wire	41	Chromite	39	Control Circuit	34	Aerogel	26	Boron Composite	25		
oceanic-nitrogen-extractor-t1	Nitrogen Extractor	BUILDING	1	1	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	25	Copper	22	Copper Wire	19										
oceanic-nitrogen-extractor-t2	Nitrogen Extractor	BUILDING	2	1	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	30	Copper	27	Copper Wire	23	Chromite	21								
oceanic-nitrogen-extractor-t3	Nitrogen Extractor	BUILDING	3	1	60	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	36	Copper	33	Copper Wire	28	Chromite	26	Control Circuit	23						
oceanic-nitrogen-extractor-t4	Nitrogen Extractor	BUILDING	4	1	50	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	44	Copper	40	Copper Wire	34	Chromite	32	Control Circuit	28	Aerogel	21				
oceanic-nitrogen-extractor-t5	Nitrogen Extractor	BUILDING	5	1	40	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	53	Copper	48	Copper Wire	41	Chromite	39	Control Circuit	34	Aerogel	26	Boron Composite	25		
oceanic-argon-extractor-t1	Argon Extractor	BUILDING	1	2	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	25	Boron Composite	20	Climate Controller	17										
oceanic-argon-extractor-t2	Argon Extractor	BUILDING	2	2	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	30	Boron Composite	24	Climate Controller	21	Cobalt	19								
oceanic-argon-extractor-t3	Argon Extractor	BUILDING	3	2	60	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	36	Boron Composite	29	Climate Controller	26	Cobalt	23	Copper	23						
oceanic-argon-extractor-t4	Argon Extractor	BUILDING	4	2	50	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	44	Boron Composite	35	Climate Controller	32	Cobalt	28	Copper	28	Aerogel	21				
oceanic-argon-extractor-t5	Argon Extractor	BUILDING	5	2	40	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	53	Boron Composite	42	Climate Controller	39	Cobalt	34	Copper	34	Aerogel	26	Copper Wire	27		
oceanic-cobalt-ore-extractor-t1	Cobalt Ore Extractor	BUILDING	1	2	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	25	Boron Composite	20	Climate Controller	17										
oceanic-cobalt-ore-extractor-t2	Cobalt Ore Extractor	BUILDING	2	2	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	30	Boron Composite	24	Climate Controller	21	Cobalt	19								
oceanic-cobalt-ore-extractor-t3	Cobalt Ore Extractor	BUILDING	3	2	60	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	36	Boron Composite	29	Climate Controller	26	Cobalt	23	Copper	23						
oceanic-cobalt-ore-extractor-t4	Cobalt Ore Extractor	BUILDING	4	2	50	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	44	Boron Composite	35	Climate Controller	32	Cobalt	28	Copper	28	Aerogel	21				
oceanic-cobalt-ore-extractor-t5	Cobalt Ore Extractor	BUILDING	5	2	40	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	53	Boron Composite	42	Climate Controller	39	Cobalt	34	Copper	34	Aerogel	26	Copper Wire	27		
oceanic-fluorine-gas-extractor-t1	Fluorine Gas Extractor	BUILDING	1	2	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	25	Boron Composite	20	Climate Controller	17										
oceanic-fluorine-gas-extractor-t2	Fluorine Gas Extractor	BUILDING	2	2	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	30	Boron Composite	24	Climate Controller	21	Cobalt	19								
oceanic-fluorine-gas-extractor-t3	Fluorine Gas Extractor	BUILDING	3	2	60	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	36	Boron Composite	29	Climate Controller	26	Cobalt	23	Copper	23						
oceanic-fluorine-gas-extractor-t4	Fluorine Gas Extractor	BUILDING	4	2	50	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	44	Boron Composite	35	Climate Controller	32	Cobalt	28	Copper	28	Aerogel	21				
oceanic-fluorine-gas-extractor-t5	Fluorine Gas Extractor	BUILDING	5	2	40	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	53	Boron Composite	42	Climate Controller	39	Cobalt	34	Copper	34	Aerogel	26	Copper Wire	27		
oceanic-manganese-ore-extractor-t1	Manganese Ore Extractor	BUILDING	1	2	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	25	Boron Composite	20	Climate Controller	17										
oceanic-manganese-ore-extractor-t2	Manganese Ore Extractor	BUILDING	2	2	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	30	Boron Composite	24	Climate Controller	21	Cobalt	19								
oceanic-manganese-ore-extractor-t3	Manganese Ore Extractor	BUILDING	3	2	60	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	36	Boron Composite	29	Climate Controller	26	Cobalt	23	Copper	23						
oceanic-manganese-ore-extractor-t4	Manganese Ore Extractor	BUILDING	4	2	50	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	44	Boron Composite	35	Climate Controller	32	Cobalt	28	Copper	28	Aerogel	21				
oceanic-manganese-ore-extractor-t5	Manganese Ore Extractor	BUILDING	5	2	40	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	53	Boron Composite	42	Climate Controller	39	Cobalt	34	Copper	34	Aerogel	26	Copper Wire	27		
oceanic-oxygen-extractor-t1	Oxygen Extractor	BUILDING	1	2	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	25	Boron Composite	20	Climate Controller	17										
oceanic-oxygen-extractor-t2	Oxygen Extractor	BUILDING	2	2	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	30	Boron Composite	24	Climate Controller	21	Cobalt	19								
oceanic-oxygen-extractor-t3	Oxygen Extractor	BUILDING	3	2	60	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	36	Boron Composite	29	Climate Controller	26	Cobalt	23	Copper	23						
oceanic-oxygen-extractor-t4	Oxygen Extractor	BUILDING	4	2	50	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	44	Boron Composite	35	Climate Controller	32	Cobalt	28	Copper	28	Aerogel	21				
oceanic-oxygen-extractor-t5	Oxygen Extractor	BUILDING	5	2	40	Oceanic Planet	MUD;ONI;USTUR	Extraction		Barrier Material	53	Boron Composite	42	Climate Controller	39	Cobalt	34	Copper	34	Aerogel	26	Copper Wire	27		
oceanic-bathysphere-pearls-extractor-t1	Bathysphere Pearls Extractor	BUILDING	1	3	180	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	21	Barrier Material	22	Boron Composite	17										
oceanic-bathysphere-pearls-extractor-t2	Bathysphere Pearls Extractor	BUILDING	2	3	150	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	26	Barrier Material	27	Boron Composite	21	Climate Controller	19								
oceanic-bathysphere-pearls-extractor-t3	Bathysphere Pearls Extractor	BUILDING	3	3	120	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	32	Barrier Material	33	Boron Composite	26	Climate Controller	23	Cobalt	21						
oceanic-bathysphere-pearls-extractor-t4	Bathysphere Pearls Extractor	BUILDING	4	3	100	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	39	Barrier Material	40	Boron Composite	32	Climate Controller	28	Cobalt	26	Beryllium Matrix	17				
oceanic-bathysphere-pearls-extractor-t5	Bathysphere Pearls Extractor	BUILDING	5	3	80	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	47	Barrier Material	48	Boron Composite	39	Climate Controller	34	Cobalt	32	Beryllium Matrix	21	Manganese	25		
oceanic-neural-coral-compounds-extractor-t1	Neural Coral Compounds Extractor	BUILDING	1	3	180	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	21	Barrier Material	22	Boron Composite	17										
oceanic-neural-coral-compounds-extractor-t2	Neural Coral Compounds Extractor	BUILDING	2	3	150	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	26	Barrier Material	27	Boron Composite	21	Climate Controller	19								
oceanic-neural-coral-compounds-extractor-t3	Neural Coral Compounds Extractor	BUILDING	3	3	120	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	32	Barrier Material	33	Boron Composite	26	Climate Controller	23	Cobalt	21						
oceanic-neural-coral-compounds-extractor-t4	Neural Coral Compounds Extractor	BUILDING	4	3	100	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	39	Barrier Material	40	Boron Composite	32	Climate Controller	28	Cobalt	26	Beryllium Matrix	17				
oceanic-neural-coral-compounds-extractor-t5	Neural Coral Compounds Extractor	BUILDING	5	3	80	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	47	Barrier Material	48	Boron Composite	39	Climate Controller	34	Cobalt	32	Beryllium Matrix	21	Manganese	25		
oceanic-phase-shift-crystals-extractor-t1	Phase Shift Crystals Extractor	BUILDING	1	3	180	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	21	Barrier Material	22	Boron Composite	17										
oceanic-phase-shift-crystals-extractor-t2	Phase Shift Crystals Extractor	BUILDING	2	3	150	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	26	Barrier Material	27	Boron Composite	21	Climate Controller	19								
oceanic-phase-shift-crystals-extractor-t3	Phase Shift Crystals Extractor	BUILDING	3	3	120	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	32	Barrier Material	33	Boron Composite	26	Climate Controller	23	Cobalt	21						
oceanic-phase-shift-crystals-extractor-t4	Phase Shift Crystals Extractor	BUILDING	4	3	100	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	39	Barrier Material	40	Boron Composite	32	Climate Controller	28	Cobalt	26	Beryllium Matrix	17				
oceanic-phase-shift-crystals-extractor-t5	Phase Shift Crystals Extractor	BUILDING	5	3	80	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	47	Barrier Material	48	Boron Composite	39	Climate Controller	34	Cobalt	32	Beryllium Matrix	21	Manganese	25		
oceanic-abyssal-energy-crystals-extractor-t1	Abyssal Energy Crystals Extractor	BUILDING	1	4	300	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	21	Boron Composite	20	Climate Controller	17										
oceanic-abyssal-energy-crystals-extractor-t2	Abyssal Energy Crystals Extractor	BUILDING	2	4	250	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	26	Boron Composite	24	Climate Controller	21	Cobalt	19								
oceanic-abyssal-energy-crystals-extractor-t3	Abyssal Energy Crystals Extractor	BUILDING	3	4	200	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	32	Boron Composite	29	Climate Controller	26	Cobalt	23	Manganese	21						
oceanic-abyssal-energy-crystals-extractor-t4	Abyssal Energy Crystals Extractor	BUILDING	4	4	160	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	39	Boron Composite	35	Climate Controller	32	Cobalt	28	Manganese	26	Utility Core	21				
oceanic-abyssal-energy-crystals-extractor-t5	Abyssal Energy Crystals Extractor	BUILDING	5	4	120	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	47	Boron Composite	42	Climate Controller	39	Cobalt	34	Manganese	32	Utility Core	26	Beryllium Matrix	19		
oceanic-lunar-echo-crystals-extractor-t1	Lunar Echo Crystals Extractor	BUILDING	1	5	480	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	21	Beryllium Matrix	14	Utility Core	15										
oceanic-lunar-echo-crystals-extractor-t2	Lunar Echo Crystals Extractor	BUILDING	2	5	400	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	26	Beryllium Matrix	17	Utility Core	18	Abyssal Energy Core	15								
oceanic-lunar-echo-crystals-extractor-t3	Lunar Echo Crystals Extractor	BUILDING	3	5	320	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	32	Beryllium Matrix	21	Utility Core	22	Abyssal Energy Core	18	Deployment Interface	19						
oceanic-lunar-echo-crystals-extractor-t4	Lunar Echo Crystals Extractor	BUILDING	4	5	250	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	39	Beryllium Matrix	26	Utility Core	27	Abyssal Energy Core	22	Deployment Interface	23	Electromagnetic Resonator	19				
oceanic-lunar-echo-crystals-extractor-t5	Lunar Echo Crystals Extractor	BUILDING	5	5	200	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	47	Beryllium Matrix	32	Utility Core	33	Abyssal Energy Core	27	Deployment Interface	28	Electromagnetic Resonator	23	EM Bio Core	19		
oceanic-bioluminous-algae-farm-t1	Bioluminous Algae Farm	BUILDING	1	2	90	Oceanic Planet	MUD;ONI;USTUR	Farm		Barrier Material	25	Boron Composite	20	Climate Controller	17										
oceanic-bioluminous-algae-farm-t2	Bioluminous Algae Farm	BUILDING	2	2	75	Oceanic Planet	MUD;ONI;USTUR	Farm		Barrier Material	30	Boron Composite	24	Climate Controller	21	Cobalt	19								
oceanic-bioluminous-algae-farm-t3	Bioluminous Algae Farm	BUILDING	3	2	60	Oceanic Planet	MUD;ONI;USTUR	Farm		Barrier Material	36	Boron Composite	29	Climate Controller	26	Cobalt	23	Copper	23						
oceanic-bioluminous-algae-farm-t4	Bioluminous Algae Farm	BUILDING	4	2	50	Oceanic Planet	MUD;ONI;USTUR	Farm		Barrier Material	44	Boron Composite	35	Climate Controller	32	Cobalt	28	Copper	28	Aerogel	21				
oceanic-bioluminous-algae-farm-t5	Bioluminous Algae Farm	BUILDING	5	2	40	Oceanic Planet	MUD;ONI;USTUR	Farm		Barrier Material	53	Boron Composite	42	Climate Controller	39	Cobalt	34	Copper	34	Aerogel	26	Copper Wire	27		
oceanic-marine-bio-extract-farm-t1	Marine Bio Extract Farm	BUILDING	1	1	90	Oceanic Planet	MUD;ONI;USTUR	Farm		Barrier Material	25	Copper	22	Copper Wire	19										
oceanic-marine-bio-extract-farm-t2	Marine Bio Extract Farm	BUILDING	2	1	75	Oceanic Planet	MUD;ONI;USTUR	Farm		Barrier Material	30	Copper	27	Copper Wire	23	Chromite	21								
